STUDENTID,ACADYEAR,SEMESTER,CAMPUSID,COURSEID,CAMPUSNAME,CURRIC,COURSENAME,SECTIONGROUP,CREDIT
329176,2555,1,2,CS488,RANGSIT,521,FORMAL METHODS,10001,3
329176,2555,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,20001,3
329177,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329177,2555,1,2,CS387,RANGSIT,521,WEB APPLICATION AND ENTERPRISE PROGRAMS,30001,3
329177,2555,2,2,CS356,RANGSIT,521,"	COMPUTER APPLICATIONS IN BUSINESS",30001,3
329178,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329178,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329179,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329179,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50001,3
329179,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
329179,2553,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
329179,2553,1,2,EL295,RANGSIT,521,ACADEMIC ENGLISH 1,70001,3
329179,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329180,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329180,2554,1,2,CS289,RANGSIT,521,SOFTWARE PROCESS AND QUALITY ASSURANCE,90001,3
329180,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329181,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329181,2554,2,2,CS348,RANGSIT,521,INTRODUCTION TO CLUSTER COMPUTING AND DISTRIBUTED COMPUTING,50001,3
329181,2554,2,2,CS447,RANGSIT,521,OPERATING SYSTEM 2,90001,3
329182,2555,1,2,CS386,RANGSIT,521,SOFTWARE CONFIGURATION MANAGEMENT,30001,3
329183,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329184,2552,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
329184,2553,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
329185,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329185,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329186,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329187,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329187,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329187,2554,2,2,CS286,RANGSIT,521,MATHEMATICS AND PROFESSIONAL PRACTICES FOR SOFTWARE ENGINEERING,100001,3
329188,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329188,2553,2,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
329188,2553,2,2,TU130,RANGSIT,521,INTEGRATED SCIENCES AND TECHNOLOGY,870001,3
329188,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329188,2555,2,2,CS389,RANGSIT,521,SOFTWARE ARCHITECTURE,50001,3
329188,2555,2,2,TU116,RANGSIT,521,MAN AND ARTS : VISUAL ART  MUSIC AND PERFORMING ARTS,780001,3
329189,2552,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329189,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329189,2552,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
329189,2552,2,2,TU130,RANGSIT,521,INTEGRATED SCIENCES AND TECHNOLOGY,230001,3
329189,2555,1,2,JP171,RANGSIT,521,JAPANESE 1,810201,3
329189,2555,1,2,SO201,RANGSIT,521,INTRODUCTION TO SOCIOLOGY,20001,3
329189,2555,2,2,TU116,RANGSIT,521,MAN AND ARTS : VISUAL ART  MUSIC AND PERFORMING ARTS,780001,3
329190,2553,1,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329191,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329191,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329192,2553,2,2,PY216,RANGSIT,521,PSYCHOLOGY OF PERSONALITY AND ADJUSTMENT,870001,3
329192,2555,1,2,CS489,RANGSIT,521,SELECTED TOPICS IN SOFTWARE ENGINEERING,100001,3
329193,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
329193,2555,1,2,CS386,RANGSIT,521,SOFTWARE CONFIGURATION MANAGEMENT,30001,3
329193,2555,2,2,CS359,RANGSIT,521,DOCUMENT INDEXTING AND RETRIEVAL,30001,3
329194,2555,1,2,CS489,RANGSIT,521,SELECTED TOPICS IN SOFTWARE ENGINEERING,100001,3
329195,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329195,2554,1,2,CN427,RANGSIT,521,WEB APPLICATION ENGINEERING,870001,3
329196,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329196,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
329196,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329196,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329197,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329197,2555,1,2,CS387,RANGSIT,521,WEB APPLICATION AND ENTERPRISE PROGRAMS,30001,3
329197,2555,2,2,CS356,RANGSIT,521,"	COMPUTER APPLICATIONS IN BUSINESS",30001,3
329197,2555,2,2,CS429,RANGSIT,521,SELECTED TOPICS  IN  COMPUTER ARCHITECTURE,20001,3
329198,2555,1,2,CS456,RANGSIT,521,MANAGEMENT INFORMATION SYSTEMS,40001,3
329199,2552,2,2,EL296,RANGSIT,521,ENGLISH FOR ACADEMIC PURPOSES 1,80001,3
329199,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329199,2552,2,2,PY228,RANGSIT,521,PSYCHOLOGY OF INTERPERSONAL RELATIONS,10001,3
329199,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329199,2552,2,2,TU130,RANGSIT,521,INTEGRATED SCIENCES AND TECHNOLOGY,230001,3
