"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""STUDYDAY"";""STUDYTIMEFROM"";""STUDYTIMETO"";""ROOM""",
"W;2;""RANGSIT"";2552;1;""CS223"";""471"";""COMPUTER ORGANIZATION AND ARCHITECTURE"";3;""650001"";""FRI"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC3016""",
"W;2;""RANGSIT"";2552;1;""CS284"";""471"";""INTRODUCTION TO SOFTWARE ENGINEERING"";3;""650001"";""THU"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC3017""",
"W;2;""RANGSIT"";2552;1;""CS284"";""471"";""INTRODUCTION TO SOFTWARE ENGINEERING"";3;""650001"";""TUE"";30/12/1899 13:30:00;30/12/1899 14:55:00;""SC3017""",
"W;2;""RANGSIT"";2552;1;""CS285"";""471"";""SOCIAL AND PROFESSIONAL ISSUES"";1;""650001"";""MON"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC2-1001-3""",
"W;2;""RANGSIT"";2552;1;""CS314"";""471"";""THEORY OF COMPUTATION"";3;""650001"";""THU"";30/12/1899 9:30:00;30/12/1899 12:25:00;""SC3042""",
"W;2;""RANGSIT"";2552;1;""CS326"";""471"";""EMBEDDED SYSTEMS DESIGN"";3;""650001"";""TUE"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1024""",
"W;2;""RANGSIT"";2552;1;""CS341"";""471"";""OPERATING SYSTEMS 1"";3;""650001"";""WED"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC4006""",
"W;2;""RANGSIT"";2552;1;""CS351"";""471"";""DATABASE SYSTEMS 1"";3;""650001"";""FRI"";30/12/1899 13:30:00;30/12/1899 14:55:00;""LC2-1001-3""",
"W;2;""RANGSIT"";2552;1;""CS351"";""471"";""DATABASE SYSTEMS 1"";3;""650001"";""TUE"";30/12/1899 13:30:00;30/12/1899 14:55:00;""LC2-1001-3""",
"W;2;""RANGSIT"";2552;1;""CS365"";""471"";""ARTIFICIAL INTELLIGENT SYSTEMS"";3;""650001"";""FRI"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1025""",
"W;2;""RANGSIT"";2552;1;""CS375"";""471"";""COMPUTER GRAPHICS 1"";3;""650001"";""WED"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC2-1001-3""",
"W;2;""RANGSIT"";2552;1;""CS381"";""471"";""OBJECT-ORIENTED ANALYSIS AND DESIGN"";3;""650001"";""TUE"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1025""",
"W;2;""RANGSIT"";2552;1;""CS382"";""471"";""COMPONENT-BASED SOFTWARE DEVELOPMENT"";3;""650001"";""FRI"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC3-111""",
"W;2;""RANGSIT"";2552;1;""CS383"";""471"";""SOFTWARE PROCESS AND QUALITY ASSURANCE"";3;""650001"";""FRI"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1026""",
"W;2;""RANGSIT"";2552;1;""CS385"";""471"";""SOFTWARE REQUIREMENT SPECIFICATION AND MANAGEMENT"";3;""650001"";""TUE"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC2-1001-1""",
"W;2;""RANGSIT"";2552;1;""CS386"";""471"";""SOFTWARE CONFIGURATION MANAGEMENT"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC2032""",
"W;2;""RANGSIT"";2552;1;""CS387"";""471"";""WEB APPLICATION AND ENTERPRISE PROGRAMS"";3;""650001"";""TUE"";30/12/1899 18:00:00;30/12/1899 19:25:00;""LC2-1001-3""",
"W;2;""RANGSIT"";2552;1;""CS387"";""471"";""WEB APPLICATION AND ENTERPRISE PROGRAMS"";3;""650001"";""MON"";30/12/1899 18:00:00;30/12/1899 19:25:00;""LC2-1001-3""",
"W;2;""RANGSIT"";2552;1;""CS456"";""471"";""MANAGEMENT INFORMATION SYSTEMS"";3;""650001"";""THU"";30/12/1899 11:00:00;30/12/1899 12:25:00;""SC2048""",
"W;2;""RANGSIT"";2552;1;""CS456"";""471"";""MANAGEMENT INFORMATION SYSTEMS"";3;""650001"";""TUE"";30/12/1899 11:00:00;30/12/1899 12:25:00;""SC2048""",
"W;2;""RANGSIT"";2552;1;""CS469"";""471"";""SELECTED TOPICS IN ARTIFICIAL  INTELLIGENT SYSTEMS"";3;""650001"";""THU"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC4009""",
"W;2;""RANGSIT"";2552;1;""CS488"";""471"";""FORMAL METHODS"";3;""650001"";""FRI"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC4-210""",
"W;2;""RANGSIT"";2552;1;""CS489"";""471"";""SELECTED TOPICS IN SOFTWARE ENGINEERING"";3;""650001"";""TUE"";30/12/1899 9:30:00;30/12/1899 12:25:00;""LC2-105""",
"W;2;""RANGSIT"";2552;1;""EL070"";""521"";""ENGLISH COURSE 1"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC2015""",
"W;2;""RANGSIT"";2552;1;""EL171"";""521"";""ENGLISH COURSE 2"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC2005""",
"W;2;""RANGSIT"";2552;1;""EL171"";""521"";""ENGLISH COURSE 2"";3;""650001"";""MON"";30/12/1899 13:30:00;30/12/1899 16:25:00;""SC2004""",
"W;2;""RANGSIT"";2552;1;""EL296"";""471"";""ENGLISH FOR SCIENCE AND TECHNOLOGY 1"";3;""650001"";""THU"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1025""",
"W;2;""RANGSIT"";2552;1;""EL296"";""471"";""ENGLISH FOR SCIENCE AND TECHNOLOGY 1"";3;""650001"";""THU"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC1024""",
"W;2;""RANGSIT"";2552;1;""MA213"";""472"";""CALCULUS 3"";3;""650101"";""THU"";30/12/1899 9:30:00;30/12/1899 10:55:00;""N/A""",
"W;2;""RANGSIT"";2552;1;""MA213"";""472"";""CALCULUS 3"";3;""650101"";""TUE"";30/12/1899 9:30:00;30/12/1899 10:55:00;""N/A""",
"W;2;""RANGSIT"";2552;1;""SC113"";""471"";""GENERAL BIOLOGY"";3;""650001"";""TUE"";30/12/1899 15:00:00;30/12/1899 17:55:00;""SC3017""",
