"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""ENROLLAMOUNT""",
"W;2;""RANGSIT"";2552;2;""CS112"";""521"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100001"";0",
"W;2;""RANGSIT"";2552;2;""CS112"";""521"";""	INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING"";3;""100002"";0",
"W;2;""RANGSIT"";2552;2;""CS213"";""471"";""DATA STRUCTURES"";3;""650001"";53",
"W;2;""RANGSIT"";2552;2;""CS231"";""471"";""PROGRAMMING LANGUAGES AND PARADIGMS"";3;""650001"";94",
"W;2;""RANGSIT"";2552;2;""CS311"";""471"";""DESIGN AND ANALYSIS OF ALGORITHMS"";3;""650001"";40",
"W;2;""RANGSIT"";2552;2;""CS336"";""471"";""PRACTICES AND PATTERNS IN OBJECT-ORIENTED PROGRAMMING"";3;""650001"";9",
"W;2;""RANGSIT"";2552;2;""CS342"";""471"";""NET-CENTRIC COMPUTING 1"";3;""650001"";58",
"W;2;""RANGSIT"";2552;2;""CS348"";""471"";""INTRODUCTION TO CLUSTER COMPUTING AND DISTRIBUTED COMPUTING"";3;""650001"";4",
"W;2;""RANGSIT"";2552;2;""CS351"";""471"";""DATABASE SYSTEMS 1"";3;""650001"";41",
"C;2;""RANGSIT"";2552;2;""CS359"";""471"";""DOCUMENT INDEXTING AND RETRIEVAL"";3;""650001"";0",
"W;2;""RANGSIT"";2552;2;""CS366"";""471"";""FUNDAMENTAL OF NATURAL LANGUAGE PROCESSING"";3;""650001"";13",
"W;2;""RANGSIT"";2552;2;""CS374"";""471"";""HUMAN-COMPUTER INTERACTION"";3;""650001"";35",
"W;2;""RANGSIT"";2552;2;""CS377"";""471"";""DIGITAL IMAGE PROCESSING"";3;""650001"";9",
"W;2;""RANGSIT"";2552;2;""CS386"";""471"";""SOFTWARE CONFIGURATION MANAGEMENT"";3;""650001"";14",
"W;2;""RANGSIT"";2552;2;""CS389"";""471"";""SOFTWARE ARCHITECTURE"";3;""650001"";12",
"C;2;""RANGSIT"";2552;2;""CS427"";""471"";""INTRODUCTION TO PARALLEL COMPUTING"";3;""650001"";0",
"W;2;""RANGSIT"";2552;2;""CS447"";""471"";""OPERATING SYSTEM 2"";3;""650001"";1",
"W;2;""RANGSIT"";2552;2;""CS456"";""471"";""MANAGEMENT INFORMATION SYSTEMS"";3;""650001"";19",
